Epoch,Train Loss,Val Loss,Val F1 Score
1,0.29571159732922847,0.25482720968638445,0.5307717007385209
2,0.24496859010072367,0.23487537821739599,0.6212151796528058
3,0.21950795571244097,0.22942813950761404,0.6350800437506214
4,0.17928165822472847,0.23338672123597273,0.6429736542929169
5,0.1921488740133394,0.22908388301860563,0.6534253326761952
6,0.20819961786754373,0.22450406792222619,0.6626664715351969
7,0.20554420601141857,0.22663731204482748,0.6613884329439027
8,0.2043770346080711,0.22371458031167574,0.6683847126325002
9,0.20332697242102207,0.22246486086793932,0.6703584960652871
10,0.20390336759157335,0.22061658133138645,0.6763964313421257
11,0.20241415210981664,0.21934899313064551,0.678480034764135
12,0.19971651071063526,0.21927052769970795,0.6731707317073171
13,0.19999144659260704,0.21948227556281077,0.6749374879784574
14,0.1985387872117661,0.2175061796360422,0.6779038879497706
15,0.2040081933460034,0.1915389475044599,0.7632809967115928
16,0.20222335115254433,0.19117386294250002,0.7551696774494702
17,0.2021200733189888,0.18988928601234972,0.7570115048745553
18,0.19965354750757872,0.19038045798723927,0.7547714365515316
19,0.19931187700247324,0.18795647893301742,0.757920238538949
20,0.19809697132578405,0.18897979769654974,0.7545128037688325
